emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,acc_1,acc_2,acc_3,ori_1,ori_2,ori_3,ori_4
-9.0,-4.0,-3.0,-1.0,-1.0,-1.0,-1.0,-8.0,0.96630859375,-0.19384765625,0.24658203125,-0.3929443359375,-0.480224609375,-0.38861083984375,0.68121337890625
-1.0,2.0,8.0,-2.0,-3.0,-3.0,-1.0,2.0,0.9560546875,-0.19091796875,0.22998046875,-0.39300537109375,-0.48016357421875,-0.3885498046875,0.6812744140625
-16.0,-4.0,3.0,-4.0,-1.0,0.0,0.0,-2.0,0.9560546875,-0.19091796875,0.22998046875,-0.39300537109375,-0.48016357421875,-0.3885498046875,0.6812744140625
39.0,0.0,-4.0,0.0,-1.0,-1.0,-5.0,2.0,0.9599609375,-0.1806640625,0.21435546875,-0.39227294921875,-0.48077392578125,-0.38800048828125,0.6815185546875
9.0,-5.0,0.0,-2.0,-3.0,1.0,-1.0,-8.0,0.9609375,-0.16162109375,0.21826171875,-0.39141845703125,-0.4815673828125,-0.3873291015625,0.68182373046875
0.0,0.0,-11.0,5.0,1.0,0.0,-4.0,-3.0,0.96240234375,-0.158203125,0.22314453125,-0.39093017578125,-0.482177734375,-0.38671875,0.68206787109375
25.0,2.0,2.0,-1.0,-4.0,-1.0,-2.0,2.0,0.96240234375,-0.158203125,0.22314453125,-0.39093017578125,-0.482177734375,-0.38671875,0.68206787109375
-11.0,3.0,-4.0,5.0,-1.0,-2.0,-11.0,-15.0,0.96923828125,-0.15966796875,0.23193359375,-0.3907470703125,-0.4825439453125,-0.38629150390625,0.68206787109375
-10.0,4.0,-5.0,-2.0,-2.0,-1.0,-22.0,-25.0,0.96484375,-0.1630859375,0.23876953125,-0.39056396484375,-0.4827880859375,-0.3861083984375,0.68212890625
-10.0,0.0,-5.0,-4.0,-2.0,1.0,54.0,21.0,0.96630859375,-0.1640625,0.240234375,-0.390380859375,-0.48297119140625,-0.3861083984375,0.68206787109375
-66.0,-7.0,-4.0,-5.0,-2.0,-6.0,-25.0,5.0,0.96630859375,-0.1640625,0.240234375,-0.390380859375,-0.48297119140625,-0.3861083984375,0.68206787109375
14.0,3.0,-3.0,-2.0,-2.0,0.0,24.0,19.0,0.970703125,-0.17236328125,0.2373046875,-0.3902587890625,-0.483154296875,-0.38604736328125,0.68206787109375
7.0,-7.0,0.0,0.0,0.0,-1.0,6.0,3.0,0.966796875,-0.1728515625,0.228515625,-0.38995361328125,-0.48345947265625,-0.3857421875,0.68218994140625
-6.0,1.0,1.0,-2.0,0.0,-2.0,-4.0,-2.0,0.96728515625,-0.17578125,0.2236328125,-0.3897705078125,-0.4837646484375,-0.3853759765625,0.68231201171875
6.0,3.0,2.0,-1.0,-2.0,-2.0,8.0,7.0,0.96728515625,-0.17578125,0.2236328125,-0.3897705078125,-0.4837646484375,-0.3853759765625,0.68231201171875
-6.0,0.0,-10.0,-4.0,1.0,1.0,7.0,-3.0,0.9619140625,-0.166015625,0.216796875,-0.38934326171875,-0.484375,-0.38494873046875,0.68243408203125
5.0,4.0,2.0,0.0,-1.0,-2.0,11.0,-2.0,0.96044921875,-0.17138671875,0.2177734375,-0.38916015625,-0.4847412109375,-0.384521484375,0.68243408203125
-7.0,-14.0,-13.0,-4.0,-3.0,-4.0,-8.0,1.0,0.96142578125,-0.16748046875,0.22802734375,-0.38885498046875,-0.485107421875,-0.3841552734375,0.6826171875
-49.0,-1.0,2.0,1.0,3.0,0.0,1.0,13.0,0.96142578125,-0.16748046875,0.22802734375,-0.38885498046875,-0.485107421875,-0.3841552734375,0.6826171875
14.0,0.0,5.0,-12.0,-6.0,-4.0,-10.0,-13.0,0.9638671875,-0.15966796875,0.24365234375,-0.38824462890625,-0.48516845703125,-0.38385009765625,0.68304443359375
20.0,4.0,3.0,-3.0,-2.0,-3.0,7.0,9.0,0.9658203125,-0.16015625,0.23974609375,-0.3878173828125,-0.48516845703125,-0.38360595703125,0.68341064453125
-16.0,2.0,3.0,0.0,2.0,-3.0,-14.0,-23.0,0.9658203125,-0.15283203125,0.23876953125,-0.3878173828125,-0.48516845703125,-0.38360595703125,0.68341064453125
